Symbol,Price
GREAVESCOT,162.59
GREENPANEL,219.15
GAEL,138.54
FLUOROCHEM,3398.0
GUJGASLTD,424.4
GMDCLTD,571.1
GNFC,466.95
GPPL,177.16
GSFC,174.05
GSPL,309.95
GULFOILLUB,1124.3
HEG,526.5
HGINFRA,666.4
HBLENGINE,762.6
HCLTECH,1455.2
HDFCAMC,2813.2
HDFCBANK,903.9
HDFCLIFE,696.8
HFCL,69.74
HAPPSTMNDS,371.9
HAVELLS,1404.0
HCG,582.3
HEMIPROP,134.83
HERITGFOOD,355.65
HEROMOTOCO,5584.0
HEXT,561.6
HIKAL,213.52
HSCL,450.35
HINDALCO,909.0
HAL,4212.4
HCC,19.83
HINDCOPPER,591.65
HINDPETRO,450.2
HINDUNILVR,2305.2
HINDZINC,592.85
POWERINDIA,22418.0
HOMEFIRST,1179.3
HONASA,301.45
HONAUT,31375.0
HUDCO,195.77
HYUNDAI,2179.5
ICICIBANK,1414.6
ICICIGI,1916.1
ICICIPRULI,643.65
IDBI,110.75
IDFCFIRSTB,81.54
IFBIND,1193.7
IFCI,62.87
IIFLCAPS,325.15
IIFL,508.8
INOXINDIA,1169.4
IRB,44.02
IRCON,152.89
ITCHOTELS,180.13
ITC,313.75
ITI,289.1
IMAGICAA,48.07
INDGN,474.7
INDIACEM,442.35
INDIAGLYCO,951.6
INDIASHLTR,737.4
INDIAMART,2200.0
INDIANB,873.7
IEX,123.95
INDHOTEL,699.9
IMFA,1439.7
IOC,176.77
IOB,34.83
IRCTC,617.5
IRFC,111.44
IREDA,123.56
INDIGOPNTS,973.1
ICIL,303.42
IGL,166.51
INDUSTOWER,466.6
INDUSINDBK,926.05
NAUKRI,1141.1
INFY,1369.1
INGERRAND,3723.7
INNOVACAP,678.85
INOXGREEN,171.04
INOXWIND,106.38
INTELLECT,678.9
INDIGO,4929.2
IGIL,324.5
IKS,1640.5
IONEXCHANG,388.1
IPCALAB,1485.4
ISGEC,873.0
JBCHEPHARM,1891.8
JKCEMENT,5599.0
JKIL,555.75
JBMA,579.85
JKLAKSHMI,706.65
JKPAPER,337.1
JKTYRE,587.95
JMFINANCIL,136.5
JSWCEMENT,119.43
JSWENERGY,474.7
JSWINFRA,257.45
JSWSTEEL,1232.0
JAIBALAJI,70.12
JISLJALEQS,37.68
JPPOWER,14.95
J&KBANK,101.74
JAMNAAUTO,135.38
JSFB,388.15
JINDALSAW,190.18
JSL,764.2
JINDALSTEL,1184.7
JINDWORLD,26.89
JIOFIN,263.95
JUBLFOOD,533.1
JUBLINGREA,640.75
